Delivery Date;Arrival Time;Customer Name;Palette Euro NEW;Caisses vertes;VID-T;VID-S;Vidanges champignons;Vidange F;FRIGO BOX;Palette Truval;Palette banane;Palette Plastique;Palette Pool;;;Remarques;Remarques Reprise;On Time?;Driver Name;Reprise marchandise ?;Reprise vidanges ?;Num unique Liv
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:35 AM;INTERMARCHE REBECQ;1;70;41;2;;;1;;;;;;;;;No;Magain Elodie;No;Yes;INTERREBEC01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:06 AM;INTERMARCHE TUBIZE;1;85;37;;;;;;;;;;;;;No;Magain Elodie;No;Yes;INTERTUBIZ01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;7:29 AM;BELORTA;;;;;;;;;;;;;;;;Yes;Magain Elodie;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:12 PM;JR Transport;;;;;;;;;;;;;;;;Yes;Magain Elodie;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;2:49 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Libin Franck;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:10 AM;INTERMARCHE GILLY;1;75;32;1;;;1;;;;;;;;;No;Libin Franck;No;Yes;INTERGILLY01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:55 AM;INTERMARCHE PERWEZ B-W;10;;;;;;;;;;;;;Enveloppe déposée ;;No;Libin Franck;No;Yes;INTERPERWZ01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:47 AM;INTERMARCHE HELECINE;;;;;;;;;;;;;;;;No;Libin Franck;No;No;INTERHELEC01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:15 AM;EURO COLD STORE NV;;;;;;;;;;;;;;;;No;Libin Franck;No;No;EUROCOLD01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:37 AM;Carrefour Tessenderlo DC (Agrisert);;;;;;;;;;;;;;;;Yes;Libin Franck;No;No;709
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;7:49 AM;VEILING HOOGSTRATEN;;;;;;;;;;;;;;;;Yes;Libin Franck;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:12 PM;JR Transport;;;;;;;;;;;;;;;;Yes;Libin Franck;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;JR Transport;;;;;;;;;;;;;;;;Yes;Yannick Deladerriere;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;INTERMARCHE PONT DE LOUP;;;;;;;;;;;;;;;;No;Yannick Deladerriere;;;INTERPONT01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;INTERMARCHE AUVELAIS;;;;;;;;;;;;;;;;No;Yannick Deladerriere;;;INTERAUVEL01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;INTERMARCHE WALHAIN;;;;;;;;;;;;;;;;No;Yannick Deladerriere;;;INTERWALHA01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;DSP (Agrisert;;;;;;;;;;;;;;;;Yes;Yannick Deladerriere;;;2
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;BELORTA;;;;;;;;;;;;;;;;Yes;Yannick Deladerriere;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;JR Transport;;;;;;;;;;;;;;;;Yes;Yannick Deladerriere;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:07 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Jacqmin Tristan;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:43 AM;INTERMARCHE SPY;10;;;;;;;;;;;;;;;No;Jacqmin Tristan;No;Yes;INTERSPY01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:59 AM;INTERMARCHE RHISNES;20;;;;;;;;;;;;;;;No;Jacqmin Tristan;No;Yes;INTERRHISN01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:21 AM;SPAR WARET;9;;;;;;;2;;;;;;;;No;Jacqmin Tristan;No;Yes;SPARWARET01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:48 AM;HAMENDE LUC;;;;;;;;;;;;;;;;No;Jacqmin Tristan;No;No;HAMENDELUC01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:04 AM;INTERMARCHE LEUZE;;;;;;;;;;;;;;;;No;Jacqmin Tristan;No;No;INTERLEUZD01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;2:56 AM;VEILING HOOGSTRATEN;;;;;;;;;;;;;;;;No;Jacqmin Tristan;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;JR Transport;;;;;;;;;;;;;;;;Yes;Jacqmin Tristan;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:14 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Declefs Come;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:14 AM;INTERMARCHE STREPY;1;92;;;;;;;;;;;;;;No;Declefs Come;No;Yes;INTERSTREP01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:15 AM;INTERMARCHE MONS;10;;;;;1;;;;;;;;;;No;Declefs Come;No;Yes;INTERMONS01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:51 AM;HOES MONS;;;;;;;;;;;;;;;;No;Declefs Come;No;No;HOESMONS01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;11:01 AM;INTERMARCHE HOLLAIN;1;67;15;;;;;;;;;;;;;No;Declefs Come;No;Yes;INTERHOLLA01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;11:02 AM;INTERMARCHE RUMES;;;;;;;;;;;;;;;;No;Declefs Come;No;No;INTERRUMES01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;11:02 AM;REO VEILING;;;;;;;;;;;;;;;;No;Declefs Come;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;1:57 PM;JR Transport;;;;;;;;;;;;;;;;Yes;Declefs Come;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:11 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Crapez Ayrton;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:11 AM;INTERMARCHE BOUSSU;1;39;36;;;;1;;;;;;;;;No;Crapez Ayrton;No;Yes;INTERBOUSS01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:12 AM;INTERMARCHE FRAMERIES;1;64;60;;;;1;;;;;;;;Pdt panier malin 12x5kg;No;Crapez Ayrton;Yes;Yes;INTERFRAME01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;7:23 AM;LECLERC NOEUX-LES-MINES;1;4;46;;;;;;;;;;;;;No;Crapez Ayrton;No;Yes;LECLERCNOE01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;7:24 AM;PROSOL SAS;;;;;;;;;;;;;;;;No;Crapez Ayrton;No;No;PROSOL01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;2:23 PM;SUD FRESH;;;;;;;;;;;;;;;;No;Crapez Ayrton;No;No;SUDFRESH01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;2:24 PM;LOMME PRIMEURS SARL;;;;;;;;;;;;;;;;No;Crapez Ayrton;No;No;LOMMEPRIME01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;2:24 PM;LESAGE CHAMPIGNON;;;;;;;;;;;;;;;;No;Crapez Ayrton;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;2:24 PM;SUPERLOG SA;;;;;;;;;;;;;;;;No;Crapez Ayrton;No;No;SUPERLOG01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;2:25 PM;JR Transport;;;;;;;;;;;;;;;;Yes;Crapez Ayrton;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:26 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Ianni Saverio;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:10 AM;INTERMARCHE MOUSCRON;12;119;96;;;;;4;;;;;;;4 caisse melon Sicile cal 6;No;Ianni Saverio;Yes;Yes;INTERMOUSC01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:18 AM;INTERMARCHE TEMPLEUVE;1;58;48;;;;;;;;;;;;6 ravier de  de fraise ;No;Ianni Saverio;Yes;Yes;INTERTEMPL01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;2:50 AM;REO VEILING;;;;;;;;;;;;;;;;No;Ianni Saverio;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;2:50 AM;DV FRESH;;;;;;;;;;;;;;;;No;Ianni Saverio;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;JR Transport;;;;;;;;;;;;;;;;Yes;Ianni Saverio;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:13 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Desclefs Julien;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:30 AM;INTERMARCHE GIVRY;19;39;36;;;;;;;;;;;;1 sac noix ... 3 caisses cerises ... 10 ×1 kg citron ... 5 caisses poireaux;No;Desclefs Julien;Yes;Yes;INTERGIVRY01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:50 AM;INTERMARCHE FORCHIES;;;;;;;;;;;;;;;;No;Desclefs Julien;No;No;INTERFORCH01062023
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;12:13 PM;BELORTA;;;;;;;;;;;;;;;;No;Desclefs Julien;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:35 PM;JR Transport;;;;;;;;;;;;;;;;Yes;Desclefs Julien;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;1:10 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Van Mechelen Geoffrey;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;2:56 AM;INTERMARCHE ANHEE/HOLEBO SA;;;;;;;;;;;;;;;;No;Van Mechelen Geoffrey;No;No;INTERANHEE01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:40 AM;INTERMARCHE BOIS DE VILLERS;;;;;;;;;;;;;;;;No;Van Mechelen Geoffrey;Yes;No;INTERBOIS01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:20 AM;INTER NANINNE BY MESTDAGH DIR;;;;;;;;;;;;;;;;No;Van Mechelen Geoffrey;No;No;CARREFNANI01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:58 AM;INTERMARCHE ASSESSE;;;;;;;;;;;;;;Une palette sur deux livrer;;No;Van Mechelen Geoffrey;No;No;INTERASSES01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:47 AM;INTERMARCHE OHEY;;;;;;;;;;;;;;;;No;Van Mechelen Geoffrey;No;No;INTEROHEY01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:26 AM;INTER FLORIFFOUX BY MESTDAGH;;;;;;;;;;;;;;;;No;Van Mechelen Geoffrey;No;No;INTERMESFL01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:27 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Van Mechelen Geoffrey;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:36 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Bonivillo Roberto;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:58 AM;INTERMARCHE GOZEE;10;46;28;4;;;;;;;;;;;;No;Bonivillo Roberto;No;Yes;INTERGOZEE01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:12 AM;LECLERC AULNOYE AYMERIES;1;;79;;;;;;;;;;;;6 caisse de courgettes   En trop ;No;Bonivillo Roberto;Yes;Yes;LECLERCAUL01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:07 AM;DUVEAU ETS;4;;208;;;;;1;;;;;;;;No;Bonivillo Roberto;No;Yes;DUVEAU01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:32 AM;VAMODIS;3;13;64;;;1;;;;;;;;;;No;Bonivillo Roberto;No;Yes;VAMODIS01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;7:50 AM;LA ROMAINE SPRL;1;7;10;;;;;;;;;;;;;No;Bonivillo Roberto;No;Yes;LAROMAINES01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;REO VEILING;;;;;;;;;;;;;;;;Yes;Bonivillo Roberto;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;JR Transport;;;;;;;;;;;;;;;;Yes;Bonivillo Roberto;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;7:32 PM;JR Transport;;;;;;;;;;;;;;;;Yes;Willemet Philippe;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;10:07 PM;CAFRUTA SA;;;;;;;;;;;;;;;;No;Willemet Philippe;No;No;CAFRUTASA01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;11:10 PM;COURTHEOUX SA;;;;;;;;;;;;;;;Banane bio et chiquita ;No;Willemet Philippe;Yes;No;COURTHEOUF01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;12:23 AM;AD VIRTON;12;;;;;;;;;;;;;;;No;Willemet Philippe;No;Yes;ADVIRTON01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:49 AM;JR TRANSPORT;;;;;;;;;;;;;;;;Yes;Willemet Philippe;;;70402
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;7:29 AM;INTERMARCHE GEDINNE;20;23;22;1;;;;;;;;;;;;No;Willemet Philippe;No;Yes;INTERGEDIN01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;8:26 AM;AU P'TIT MARCHE WINENNE;2;52;33;1;;;;;;;;;;;;No;Willemet Philippe;No;Yes;AUPTITMAR301062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;8:35 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Willemet Philippe;;;CHEZSERGIN01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;8:59 AM;GIVOTO;2;35;47;;;;;;;;;;;;;No;Willemet Philippe;No;Yes;GIVOTO01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;9:36 AM;ITM VIREUX-MOLHAIN;2;70;92;15;;5;;;;;;;;;;No;Willemet Philippe;No;Yes;INTERVIREU01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;9:39 AM;CHEZ SERGINE ET PATRICK;3;31;36;6;;2;;;;;;;;;;No;Willemet Philippe;No;Yes;CHEZSERGIN01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:35 PM;JR Transport;;;;;;;;;;;;;;;;Yes;Willemet Philippe;;;70402
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:13 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Nicolas Del Bianco;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:50 AM;INTERMARCHE JURBISE;20;;;;;;;;;;;;;;;No;Nicolas Del Bianco;No;Yes;INTERJURBI01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:46 AM;INTER CHIEVRES BY M DIRECT;;;;;;;;;;;;;;;;No;Nicolas Del Bianco;No;No;CARREFCHIE01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:25 AM;INTERMARCHE FRASNES LEZ;;;;;;;;;;;;;;;;No;Nicolas Del Bianco;No;No;INTERFRASN01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:50 AM;INTER QUEVAUCAMPS;;;1;;;;;;;;;;;;;No;Nicolas Del Bianco;No;Yes;INTERQUEVA01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;7:15 AM;INTERMARCHE PERUWELZ HAINAUT;1;45;33;1;;;;;;;;;;;;No;Nicolas Del Bianco;No;Yes;INTERPERUW01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;7:51 AM;INTERMARCHE ORCQ;1;44;49;;;3;;;;;;;;;;No;Nicolas Del Bianco;No;Yes;INTERORCQ01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:43 PM;REO VEILING;;;;;;;;;;;;;;;;No;Nicolas Del Bianco;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:43 PM;JR Transport;;;;;;;;;;;;;;;;Yes;Nicolas Del Bianco;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:19 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Giuliano Nicola;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:19 AM;INTERMARCHE SART DAMES AVELINE;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;INTERSART01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:12 AM;AD GENAPPE;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;ADGENAPPE01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:54 AM;INTER OTTIGNIES BY MESTDAGH;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;CARREFOTTI01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:06 AM;INTERMARCHE COURT-SAINT-ETIENNE;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;INTERCOURT01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:35 AM;INTERMARCHE LIMELETTE;13;74;46;2;;;;;;;;;;;;No;Giuliano Nicola;No;Yes;INTERLIMEL01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;7:09 AM;INTER GENVAL BY MESTDAGH;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;CARREFGENV01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;7:50 AM;CHEZ THALIE SRL;5;15;10;;;17;;;;;;;;;;No;Giuliano Nicola;No;Yes;CHEZTHALIE01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;8:31 AM;PROXY MARANSART DIRECT;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;PROXYMARDI01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;8:59 AM;EXKI (agrisert);;;;;;;;;;;;;;;;Yes;Giuliano Nicola;No;No;x
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;10:30 AM;JR TRANSPORT;;;;;;;;;;;;;;;;Yes;Giuliano Nicola;;;70402
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;11:16 AM;AD FRASNES LEZ GOSSELIES;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;ADFRASNES01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;11:38 AM;INTER GOSSELIES BY MEST DIRECT;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;CARREFMEGO01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;12:30 PM;CARREFOUR MARKET GEMBLOUX;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;CARREFGEMB01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:55 PM;DEPREZ - DARMONT;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;DEPREZD01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:55 PM;AD GOSSELIES;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;ADGOSSELIE01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:56 PM;SG CENTRALE;;;;;;;;;;;;;;;;No;Giuliano Nicola;No;No;31052315
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:56 PM;JR Transport;;;;;;;;;;;;;;;;Yes;Giuliano Nicola;;;70402
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;10:50 PM;JR Transport;;;;;;;;;;;;;;;;Yes;Julien Henry;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:19 AM;NOAH PRIMEURS;;;;;;;;;;;;;;;;No;Julien Henry;No;No;NOAH01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:19 AM;NOAH PRIMEURS;;;;;;;;;;;;;;;;No;Julien Henry;No;No;NOAHPRIMEU01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:33 AM;CRUDIMO;;;;;;;;;;;;;;;;No;Julien Henry;No;No;CRUDIMO01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;9:38 AM;CHEZ SERGINE ET PATRICK;;;;;;;;;;;;;;;;No;Julien Henry;No;No;CHEZSERGIN01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;9:38 AM;AD BERTRIX;;;;;;;;;;;;;;;;No;Julien Henry;No;No;ADBERTRIX01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;11:54 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Julien Henry;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;12:49 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Londot Philippe;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:23 AM;BALOURDET PRIMEURS;12;51;127;1;;;;;;;;;;;;No;Londot Philippe;No;Yes;BALOURDETP01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;11:17 AM;INTERMARCHE JOINVILLE;;;;;;;;;;;;;;;;No;Londot Philippe;No;No;1062023
;;;;;;;;;;;;;;;;;;;;;;
